MTgenes,G2Mgenes,Sgenes,RMgenes
,,,MSTRG.628
,,,AMEX60DDU001002926::MSTRG.632
,,,AMEX60DDU001002927::MSTRG.633
,,,AMEX60DDU001002928::MSTRG.634
,,,AMEX60DDU001002931::MSTRG.636
,,,MSTRG.638
,,,AMEX60DDU001002960::MSTRG.641
,,,AMEX60DDU001002963::MSTRG.644
,,,AMEX60DDU001002989::MSTRG.647
,,,MSTRG.651
,,,MSTRG.654
,,,AMEX60DDU001003080::MSTRG.655
,,,AMEX60DDU001003065::MSTRG.657
,,,AMEX60DDU001003066::MSTRG.658
,,,AMEX60DDU001003068::MSTRG.660
,,,AMEX60DDU001003069::MSTRG.661
,,,AMEX60DDU001003071::MSTRG.663
,,,AMEX60DDU001003074::MSTRG.666
,,,MSTRG.667
,,,AMEX60DDU001003084::MSTRG.669
,,,AMEX60DDU001003086::MSTRG.671
,,,AMEX60DDU001003087::MSTRG.672
,,,AMEX60DDU001003088::MSTRG.673
,,,AMEX60DDU001003089::MSTRG.674
,,,AMEX60DDU001003092::MSTRG.677
,,,AMEX60DDU001003111::MSTRG.680
,,,AMEX60DDU001003113::MSTRG.682
,,,AMEX60DDU001003123::MSTRG.685
,,,AMEX60DDU001003125::MSTRG.687
,,,AMEX60DDU001003126::MSTRG.688
,,,AMEX60DDU001003199::MSTRG.689
,,,AMEX60DDU001003212::MSTRG.692
,,,AMEX60DDU001003217::MSTRG.694
,,,AMEX60DDU001003218::MSTRG.695
,,,AMEX60DDU001003219::MSTRG.696
,,,AMEX60DDU001003220::MSTRG.697
,,,AMEX60DDU001003221::MSTRG.698
,,,AMEX60DDU001003223::MSTRG.700
,,,AMEX60DDU001003234::MSTRG.702
,,,AMEX60DDU001003238::MSTRG.706
,,,AMEX60DDU001003239::MSTRG.707
,,,AMEX60DDU001003241::MSTRG.709
,,,AMEX60DDU001003243::MSTRG.711
,,,AMEX60DDU001003282::MSTRG.713
,,,MSTRG.715
,,,AMEX60DDU001003355::MSTRG.716
,,,MSTRG.717
,,,AMEX60DDU001003385::MSTRG.720
,,,AMEX60DDU001003400::MSTRG.721
,,,AMEX60DDU001003401::MSTRG.722
,,,AMEX60DDU001003433::MSTRG.724
,,,MSTRG.725
,,,MSTRG.727
,,,AMEX60DDU001003460::MSTRG.729
,,,MSTRG.730
,,,AMEX60DDU001003465::MSTRG.732
,,,AMEX60DDU001003467::MSTRG.734
,,,AMEX60DDU001003468::MSTRG.735
,,,AMEX60DDU001003469::MSTRG.736
,,,AMEX60DDU001003470::MSTRG.737
,,,AMEX60DDU001003471::MSTRG.738
,,,AMEX60DDU001003515::MSTRG.739
,,,MSTRG.740
,,,MSTRG.742
,,,AMEX60DDU001003537::MSTRG.744
,,,AMEX60DDU001003538::MSTRG.745
,,,AMEX60DDU001003555::MSTRG.747
,,,AMEX60DDU001003597::MSTRG.750
,,,AMEX60DDU001003598::MSTRG.751
,,,MSTRG.753
,,,MSTRG.755
,,,AMEX60DDU001003619::MSTRG.757
